scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,0,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,1,1,8.0248,22,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,2,1,8.0248,22,1,1,1,6,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,3,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,4,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,0,1,6.2216,15,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,1,1,8.0248,22,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,2,1,8.0248,22,1,1,1,6,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,3,1,6.2216,15,1,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,4,1,8.0248,22,1,1,1,0,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,0,1,6.2216,15,1,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,1,1,8.0248,22,1,1,1,2,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,2,1,17.0408,57,1,1,1,6,0,0,12,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,3,1,6.2216,15,1,1,1,0,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,4,1,11.6312,36,1,1,1,0,0,0,10,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_low,0,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_low,1,1,8.0248,22,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_low,2,1,8.0248,22,1,1,1,6,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_low,3,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_low,4,1,8.752,15,5,2,1,0,0,2,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_high,0,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_high,1,1,8.0248,22,1,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_high,2,1,8.0248,22,1,1,1,6,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_high,3,1,6.2216,15,1,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,sel_high,4,1,9.0096,15,6,2,1,0,0,3,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,compound_mid,0,1,10.122,13,1,1,1,0,2,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,compound_mid,1,1,14.7916,19,1,1,1,2,3,0,5,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,compound_mid,2,1,17.8337,26,1,1,1,6,3,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,compound_mid,3,1,10.9677,14,1,1,1,0,1,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,compound_mid,4,1,13.1107,15,6,2,1,0,0,3,2,1,0,task_complete
manual_s1_easy_trial_20260218_143151,s1,easy,manual,prime,clean,0,1,3.6,4,1,1,1,0,0,0,0,1,0,task_complete
