model_safe,model_display,env,perturbation,noise_level,n,tool_acc,strict_match,motion_obj_acc,elapsed_s
oracle_lora,Qwen2.5-3B-Oracle-LoRA,ycb,user_input,0.00,300,93.33,85.67,92.31,315.3
oracle_lora,Qwen2.5-3B-Oracle-LoRA,ycb,user_input,0.10,300,91.33,82.33,96.15,330.0
oracle_lora,Qwen2.5-3B-Oracle-LoRA,ycb,user_input,0.20,300,90.67,79.33,84.62,334.6
oracle_lora,Qwen2.5-3B-Oracle-LoRA,ycb,user_input,0.30,300,92.33,80.33,96.15,339.4
oracle_lora,Qwen2.5-3B-Oracle-LoRA,ycb,user_input,0.50,300,89.67,76.00,88.46,333.4
oracle_lora,Qwen2.5-3B-Oracle-LoRA,stacking,user_input,0.00,300,89.33,81.33,100.00,295.6
oracle_lora,Qwen2.5-3B-Oracle-LoRA,stacking,user_input,0.10,300,89.00,79.67,88.24,297.3
oracle_lora,Qwen2.5-3B-Oracle-LoRA,stacking,user_input,0.20,300,88.67,79.67,100.00,293.4
oracle_lora,Qwen2.5-3B-Oracle-LoRA,stacking,user_input,0.30,300,87.33,78.00,70.59,295.9
oracle_lora,Qwen2.5-3B-Oracle-LoRA,stacking,user_input,0.50,300,88.00,78.67,94.12,292.8
oracle_lora,Qwen2.5-3B-Oracle-LoRA,pouring,user_input,0.00,300,90.00,81.33,53.33,292.0
oracle_lora,Qwen2.5-3B-Oracle-LoRA,pouring,user_input,0.10,300,91.67,83.33,53.33,296.1
oracle_lora,Qwen2.5-3B-Oracle-LoRA,pouring,user_input,0.20,300,88.67,79.33,60.00,290.2
oracle_lora,Qwen2.5-3B-Oracle-LoRA,pouring,user_input,0.30,300,89.00,81.00,73.33,289.2
oracle_lora,Qwen2.5-3B-Oracle-LoRA,pouring,user_input,0.50,300,88.67,79.33,66.67,291.3
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.00,300,91.67,18.33,38.46,340.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.10,300,92.00,17.33,38.46,341.4
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.20,300,91.67,17.67,46.15,338.5
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.30,300,91.67,18.00,38.46,328.9
woz_lora,Qwen2.5-3B-WoZ-LoRA,ycb,user_input,0.50,300,92.00,17.00,42.31,329.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.00,300,78.00,17.33,17.65,255.2
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.10,300,77.00,17.33,11.76,253.9
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.20,300,79.00,17.33,17.65,255.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.30,300,78.33,17.67,17.65,257.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,stacking,user_input,0.50,300,78.00,18.00,17.65,257.1
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.00,300,85.00,17.00,13.33,283.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.10,300,84.67,17.67,13.33,282.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.20,300,84.67,16.67,13.33,282.8
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.30,300,84.00,17.00,13.33,278.7
woz_lora,Qwen2.5-3B-WoZ-LoRA,pouring,user_input,0.50,300,85.00,17.67,13.33,279.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.00,300,95.00,29.00,69.23,336.4
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.10,300,95.00,28.00,73.08,332.8
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.20,300,94.67,28.00,65.38,334.8
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.30,300,95.33,27.33,73.08,336.4
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,ycb,user_input,0.50,300,94.33,27.67,69.23,334.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.00,300,92.67,50.67,5.88,292.2
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.10,300,93.00,51.33,5.88,292.3
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.20,300,92.33,51.33,5.88,289.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.30,300,93.33,51.67,5.88,291.8
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,stacking,user_input,0.50,300,93.00,52.00,5.88,283.0
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.00,300,90.00,39.00,20.00,267.5
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.10,300,91.00,41.67,26.67,267.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.20,300,89.00,40.33,13.33,268.3
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.30,300,91.00,41.67,33.33,267.9
oracle_woz_lora,Qwen2.5-3B-Oracle→WoZ-LoRA,pouring,user_input,0.50,300,91.00,43.00,33.33,268.3
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,ycb,user_input,0.00,300,93.67,34.33,34.62,326.4
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,ycb,user_input,0.10,300,93.67,33.67,34.62,323.6
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,ycb,user_input,0.20,300,94.00,33.67,34.62,328.4
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,ycb,user_input,0.30,300,94.00,34.33,42.31,327.3
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,ycb,user_input,0.50,300,94.00,34.33,38.46,327.1
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,stacking,user_input,0.00,300,93.00,54.67,11.76,280.1
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,stacking,user_input,0.10,300,93.00,54.33,5.88,281.3
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,stacking,user_input,0.20,300,92.33,53.33,0.00,281.6
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,stacking,user_input,0.30,300,93.00,54.00,5.88,279.5
oracle_woz_r32,Qwen2.5-3B-Oracle→WoZ-LoRA-r32,stacking,user_input,0.50,300,93.67,53.67,5.88,282.1
