system,env,perturbation,noise_level,n,tool_acc,strict_match,motion_obj_acc
Oracle,ycb,user_input,0.00,300,93.33,48.67,23.08
H1_ask_if_ambiguous,ycb,user_input,0.00,300,88.33,9.33,23.08
Oracle,ycb,user_input,0.10,300,91.33,46.67,23.08
H1_ask_if_ambiguous,ycb,user_input,0.10,300,85.33,9.00,23.08
Oracle,ycb,user_input,0.20,300,89.00,44.00,23.08
H1_ask_if_ambiguous,ycb,user_input,0.20,300,85.67,8.00,19.23
Oracle,ycb,user_input,0.30,300,90.33,45.00,19.23
H1_ask_if_ambiguous,ycb,user_input,0.30,300,86.00,6.33,15.38
Oracle,ycb,user_input,0.50,300,87.00,42.00,19.23
H1_ask_if_ambiguous,ycb,user_input,0.50,300,83.33,5.00,19.23
Oracle,stacking,user_input,0.00,300,68.67,20.67,5.88
H1_ask_if_ambiguous,stacking,user_input,0.00,300,45.00,4.00,52.94
Oracle,stacking,user_input,0.10,300,66.00,20.33,5.88
H1_ask_if_ambiguous,stacking,user_input,0.10,300,46.33,5.00,52.94
Oracle,stacking,user_input,0.20,300,65.67,19.67,5.88
H1_ask_if_ambiguous,stacking,user_input,0.20,300,44.00,3.67,52.94
Oracle,stacking,user_input,0.30,300,63.67,19.67,11.76
H1_ask_if_ambiguous,stacking,user_input,0.30,300,43.67,3.67,47.06
Oracle,stacking,user_input,0.50,300,61.33,20.67,11.76
H1_ask_if_ambiguous,stacking,user_input,0.50,300,42.33,4.67,52.94
Oracle,pouring,user_input,0.00,300,69.00,15.67,20.00
H1_ask_if_ambiguous,pouring,user_input,0.00,300,45.33,3.33,20.00
Oracle,pouring,user_input,0.10,300,63.33,13.00,20.00
H1_ask_if_ambiguous,pouring,user_input,0.10,300,42.33,3.67,20.00
Oracle,pouring,user_input,0.20,300,60.00,11.33,20.00
H1_ask_if_ambiguous,pouring,user_input,0.20,300,45.00,4.67,26.67
Oracle,pouring,user_input,0.30,300,60.00,11.67,20.00
H1_ask_if_ambiguous,pouring,user_input,0.30,300,44.00,3.67,26.67
Oracle,pouring,user_input,0.50,300,55.00,9.00,20.00
H1_ask_if_ambiguous,pouring,user_input,0.50,300,41.33,2.33,13.33
